¾ó±¼,ÀÎ½Ä Àå ¼ö, ÇÐ½À Àå ¼ö,È®·ü1,È®·ü2,È®·ü3,È®·ü4
¾ó±¼ 4,4,40,2.371009189,1.496407915,94.89524247,1.237340431
¾ó±¼ 4,4,40,2.592173526,1.678037872,94.47447481,1.255313793
¾ó±¼ 4,4,40,3.091616057,1.801204758,93.77803577,1.329143416
¾ó±¼ 4,10,10,9.259485133,7.405697235,78.07966162,5.255156011
¾ó±¼ 4,10,10,9.252359056,7.311735373,78.12713255,5.308773019
¾ó±¼ 4,10,10,8.895382979,7.217741734,78.66631416,5.220561125
¾ó±¼ 4,10,10,7.671132857,7.757024023,79.35638228,5.215460838
¾ó±¼ 4,10,10,8.691942803,7.909403486,77.58782107,5.810832642
¾ó±¼ 4,10,10,9.421374927,7.443974904,78.29391759,4.840732582
¾ó±¼ 4,10,10,10.95038932,7.185242458,76.72665787,5.137710348
¾ó±¼ 4,10,10,8.32597942,7.920673085,78.43037786,5.322969635
¾ó±¼ 4,10,10,10.16818135,7.410640274,77.20465289,5.216525487
¾ó±¼ 4,10,10,8.703102587,7.162284339,78.93515983,5.199453243
¾ó±¼ 4,10,20,5.15230642,4.009798169,87.86320876,2.974686647
¾ó±¼ 4,10,20,4.707049601,4.674974082,87.65232459,2.965651729
¾ó±¼ 4,10,20,4.96988534,4.078118846,88.11585531,2.836140509
¾ó±¼ 4,10,20,4.239794895,4.491019403,88.41792815,2.85125755
¾ó±¼ 4,10,20,5.566633955,4.368670614,87.44812034,2.61657509
¾ó±¼ 4,10,20,6.269463977,4.388770678,86.44219023,2.899575119
¾ó±¼ 4,10,20,5.436397323,4.309577179,87.32581398,2.928211514
¾ó±¼ 4,10,20,4.423919017,4.387038354,88.01269497,3.176347657
¾ó±¼ 4,10,20,6.869787478,4.213015993,86.04247067,2.874725864
¾ó±¼ 4,10,20,5.193098066,3.773565307,88.2721259,2.76121073
¾ó±¼ 4,10,30,3.661795513,2.98269788,91.332628,2.02287861
¾ó±¼ 4,10,30,4.303680515,3.273923469,90.36031054,2.062085476
¾ó±¼ 4,10,30,4.164879193,3.216406216,90.7631557,1.855558894
¾ó±¼ 4,10,30,3.103232451,3.299964836,91.55671816,2.040084559
¾ó±¼ 4,10,30,4.122826009,3.199215086,90.56788148,2.110077423
¾ó±¼ 4,10,30,3.815191574,2.918493339,91.13495842,2.131356669
¾ó±¼ 4,10,30,3.770310006,3.462431774,90.31753017,2.449728053
¾ó±¼ 4,10,30,3.532809935,3.48410503,90.85113704,2.131947993
¾ó±¼ 4,10,30,3.285719098,3.330567361,91.45002719,1.933686354
¾ó±¼ 4,10,30,4.791931799,3.24014646,89.85636307,2.111558671
¾ó±¼ 4,10,40,2.270414813,1.51311545,95.01113645,1.205333291
¾ó±¼ 4,10,40,1.894813451,1.704638949,95.04285595,1.357691655
¾ó±¼ 4,10,40,2.642222248,1.637329279,94.47943825,1.241010225
¾ó±¼ 4,10,40,2.806406618,1.845350944,94.07360394,1.274638497
¾ó±¼ 4,10,40,2.117935581,1.737206773,94.94922784,1.195629803
¾ó±¼ 4,10,40,3.091616057,1.801204758,93.77803577,1.329143416
¾ó±¼ 4,10,40,2.020500106,1.773501411,95.07854365,1.127454829
¾ó±¼ 4,10,40,2.259072089,1.515029051,95.06157617,1.164322695
¾ó±¼ 4,10,40,2.382724846,1.594725776,94.81990128,1.202648101
¾ó±¼ 4,10,40,1.847166559,1.635019636,95.39041444,1.127399365
